Rowid_,LITH_CODE,ROCK_TYPE_GROUP,SUB_GROUP,MAP_UNIT,ROCK_TYPE_CLASS,MINERALOGY,WATER_CHEMISTRY
,11,Sedimentary rocks and their metamorphic equivalents,"Carbonate-rich rocks (acid neutralizing and soluble, forms thin alkaline clay soils)","Limestone, dolomite, limestone-pebble conglomerate; includes calcareous mudstones",Carbonate bearing rocks,Carbonate rock,"Alkaline; abundant calcium; well-oxygenated, high nitrate with agricultural landuse"
,12,Sedimentary rocks and their metamorphic equivalents,"Carbonate-rich rocks (acid neutralizing and soluble, forms thin alkaline clay soils)",Marble and some calc-silicate rock,Carbonate bearing rocks,Carbonate rock,"Alkaline; abundant calcium; well-oxygenated, high nitrate with agricultural landuse"
,21,Sedimentary rocks and their metamorphic equivalents,"Siliciclastic sedimentary rocks (moderately acid-neutralizing (cs) to reducing-acidic (s), bedded and permeable, forms neutral to slightly acid soils)",Tan and red mudstone; includes some sandstone,Siliciclastic rocks,"Quartz-, feldspar-, and clay-rich rock/sediment",Low acid-neutralizing capacity; well-oxygenated
,21cs,Sedimentary rocks and their metamorphic equivalents,"Siliciclastic sedimentary rocks (moderately acid-neutralizing (cs) to reducing-acidic (s), bedded and permeable, forms neutral to slightly acid soils)","Calcareous, locally sulfidic, gray mudstone",Carbonate-sulfidic rocks,Carbonate plus sulfide,Possibly neutral to alkaline; reducing; low nitrate; not tested
,22,Sedimentary rocks and their metamorphic equivalents,"Siliciclastic sedimentary rocks (moderately acid-neutralizing (cs) to reducing-acidic (s), bedded and permeable, forms neutral to slightly acid soils)",Sandstone and interbedded sandstone and conglomerate; minor carbonate cement; may contain mudstone,Siliciclastic rocks,"Quartz-, feldspar-, and clay-rich rock/sediment",Low acid-neutralizing capacity; well-oxygenated
,23s,Sedimentary rocks and their metamorphic equivalents,"Siliciclastic sedimentary rocks (moderately acid-neutralizing (cs) to reducing-acidic (s), bedded and permeable, forms neutral to slightly acid soils)","Carbonaceous, graphitic, or sulfidic slate and shale",Carbonaceous-sulfidic rocks,"Carbonaceous and (or) sulfidic rock/sediment; bog, marsh, swamp deposit","Reducing, acidic to neutral, anoxic; abundant dissolved organic carbon, iron; low or no nitrate"
,24s,Sedimentary rocks and their metamorphic equivalents,"Siliciclastic sedimentary rocks (moderately acid-neutralizing (cs) to reducing-acidic (s), bedded and permeable, forms neutral to slightly acid soils)",Coal beds and zones containing abundant coal beds,Carbonaceous-sulfidic rocks,"Carbonaceous and (or) sulfidic rock/sediment; bog, marsh, swamp deposit","Reducing, acidic to neutral, anoxic; abundant dissolved organic carbon, iron; low or no nitrate"
,31s,Sedimentary rocks and their metamorphic equivalents,"Metamorphosed clastic sedimentary rocks; includes some metavolcanic layers (moderately acid-neutralizing (c) to acidic (s), recrystallized and foliated, forms neutral to slightly acid soils)",Graphitic and sulfidic slate; includes some metagraywacke,Carbonaceous-sulfidic rocks,"Carbonaceous and (or) sulfidic rock/sediment; bog, marsh, swamp deposit","Reducing, acidic to neutral, anoxic; abundant dissolved organic carbon, iron; low or no nitrate"
,32,Sedimentary rocks and their metamorphic equivalents,"Metamorphosed clastic sedimentary rocks; includes some metavolcanic layers (moderately acid-neutralizing (c) to acidic (s), recrystallized and foliated, forms neutral to slightly acid soils)",Pelitic schist and phyllite; locally quartzofeldspathic,Siliciclastic rocks,"Quartz-, feldspar-, and clay-rich rock/sediment",Low acid-neutralizing capacity; well-oxygenated
,32c,Sedimentary rocks and their metamorphic equivalents,"Metamorphosed clastic sedimentary rocks; includes some metavolcanic layers (moderately acid-neutralizing (c) to acidic (s), recrystallized and foliated, forms neutral to slightly acid soils)",Calcareous schist and gneiss,Carbonate bearing rocks,Impure carbonate rock/sediment,"Alkaline; abundant calcium; well-oxygenated, high nitrate with agricultural landuse"
,32s,Sedimentary rocks and their metamorphic equivalents,"Metamorphosed clastic sedimentary rocks; includes some metavolcanic layers (moderately acid-neutralizing (c) to acidic (s), recrystallized and foliated, forms neutral to slightly acid soils)",Sulfidic schist and minor quartzofeldspathic schist,Carbonaceous-sulfidic rocks,"Carbonaceous and (or) sulfidic rock/sediment; bog, marsh, swamp deposit","Reducing, acidic to neutral, anoxic; abundant dissolved organic carbon, iron; low or no nitrate"
,33,Sedimentary rocks and their metamorphic equivalents,"Metamorphosed clastic sedimentary rocks; includes some metavolcanic layers (moderately acid-neutralizing (c) to acidic (s), recrystallized and foliated, forms neutral to slightly acid soils)","Metasandstone, quartzite, quartz granofels, and gneiss; locally schistose",Siliciclastic rocks,"Quartz-, feldspar-, and clay-rich rock/sediment",Low acid-neutralizing capacity; well-oxygenated
